Account,date,daily_pnl,total_trades,winning_trades,avg_trade_size_usd,long_trades,short_trades,win_rate,long_short_ratio,sentiment_score,sentiment_label
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177.0,0.0,5089.718248587571,0.0,0.0,0.0,0.0,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68.0,0.0,7976.664411764705,0.0,0.0,0.0,0.0,90.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40.0,0.0,23734.5,0.0,0.0,0.0,0.0,83.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12.0,0.0,28186.66666666666,0.0,0.0,0.0,0.0,94.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1000000000001,27.0,12.0,17248.148148148146,0.0,0.0,0.4444444444444444,0.0,79.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82.0,0.0,16058.536341463418,0.0,0.0,0.0,0.0,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23.0,0.0,48561.68565217392,0.0,0.0,0.0,0.0,84.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33.0,0.0,36736.36242424243,0.0,0.0,0.0,0.0,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.96409800001,465.0,23.0,11410.954021505375,0.0,0.0,0.04946236559139785,0.0,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998000005,51.0,28.0,9400.588039215687,0.0,0.0,0.5490196078431373,0.0,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.00000000001,10.0,9.0,185847.0,0.0,0.0,0.9,0.0,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839.0,256.0,23593.019856972584,0.0,0.0,0.30512514898688914,0.0,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.27024299995,531.0,83.0,10576.687156308852,0.0,0.0,0.15630885122410546,0.0,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.90580000001,210.0,78.0,26585.063380952382,0.0,0.0,0.37142857142857144,0.0,54.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141.0,132.0,10161.056241134753,0.0,0.0,0.9361702127659575,0.0,46.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48.0,16.0,32032.5,0.0,0.0,0.3333333333333333,0.0,43.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6.0,0.0,134600.00166666668,0.0,0.0,0.0,0.0,47.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59.0,31.0,27178.041694915253,0.0,0.0,0.5254237288135594,0.0,49.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.39553800001,219.0,93.0,13233.776894977169,0.0,0.0,0.4246575342465753,0.0,25.0,Fear
